Language/Topic,Name,Course/Project,Link,University/Company/YouTube Page,Ratings,Level,Reviews,Enrolled Students,Payment,Views,Platform
Web Development ,Introduction to Web Development,COURSE,https://www.coursera.org/learn/web-development,University of California Davis,4.7,Beginner,2331,NA,P,NA,Coursera
Java,Java Programming and Software Engineering Fundamentals,SPECIALIZATION,https://www.coursera.org/specializations/java-programming,NA,4.6,Beginner,15152,NA,P,NA,Coursera
Java,Object Oriented Programming in Java,SPECIALIZATION,https://www.coursera.org/specializations/object-oriented-programming,NA,4.6,Beginner,11124,NA,P,NA,Coursera
Java,Object Oriented Java Programming: Data Structures and Beyond,SPECIALIZATION,https://www.coursera.org/specializations/java-object-oriented,NA,4.7,Intermediate,6061,NA,P,NA,Coursera
Java,"Parallel, Concurrent, and Distributed Programming in Java",SPECIALIZATION,https://www.coursera.org/specializations/pcdp,NA,4.5,Intermediate,1182,NA,P,NA,Coursera
Java,Java Programming: Solving Problems with Software,COURSE,https://www.coursera.org/learn/java-programming,NA,4.6,Beginner,5574,NA,P,NA,Coursera
Java,Google IT Support,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/google-it-support,NA,4.8,Beginner,68766,NA,P,NA,Coursera
Java,Python for Everybody,SPECIALIZATION,https://www.coursera.org/specializations/python,NA,4.8,Beginner,NA,NA,P,NA,Coursera
Java,"Algorithms, Part I",COURSE,https://www.coursera.org/learn/algorithms-part1,NA,4.9,Intermediate,7985,NA,P,NA,Coursera
Java,Building Scalable Java Microservices with Spring Boot and Spring Cloud,COURSE,https://www.coursera.org/learn/google-cloud-java-spring,NA,4.3,Intermediate,687,NA,P,NA,Coursera
Java,Data Structures and Algorithms,SPECIALIZATION,https://www.coursera.org/specializations/data-structures-algorithms,NA,4.6,Intermediate,11733,NA,P,NA,Coursera
Java,Building Modern Java Applications on AWS,COURSE,https://www.coursera.org/learn/building-modern-java-applications-on-aws,NA,NA,Intermediate,,NA,P,NA,Coursera
Java,Object Oriented Programming in Java,COURSE,https://www.coursera.org/learn/object-oriented-java,NA,4.7,Intermediate,4871,NA,P,NA,Coursera
Java,Computer Science: Programming with a Purpose,COURSE,https://www.coursera.org/learn/cs-programming-java,NA,4.8,Beginner,364,NA,P,NA,Coursera
Java,Coding for Everyone: C and C++,COURSE,https://www.coursera.org/specializations/coding-for-everyone,NA,4.5,Beginner,5218,NA,P,NA,Coursera
Java,Learn to Teach Java,SPECIALIZATION,https://www.coursera.org/specializations/teach-java,NA,4.8,Beginner,27,NA,P,NA,Coursera
Java,Software Testing and Automation,SPECIALIZATION,https://www.coursera.org/specializations/software-testing-automation,NA,4,Intermediate,92,NA,P,NA,Coursera
Java,Code Yourself! An Introduction to Programming,COURSE,https://www.coursera.org/learn/intro-programming,NA,4.7,Beginner,1993,NA,P,NA,Coursera
Java,Java Tutorial for Beginners [2020],PLAYLIST,https://www.youtube.com/watch?v=eIrMbAQSU34,Programming with Mosh,NA,NA,NA,NA,u,2.8M,YouTube
Java,Java Full Course | Java Tutorial for Beginners | Java Online Training,PLAYLIST,https://www.youtube.com/watch?v=hBh_CC5y8-s,edureka!,NA,NA,NA,NA,u,1.2M,YouTube
Java,Java Specialists Newsletter,BLOGS,https://www.javaspecialists.eu/,NA,NA,NA,NA,NA,u,NA,javaspecialists
Java,Java Tutorial ,BLOGS,https://www.tutorialspoint.com/java/index.htm,Tutorialspoint,NA,NA,NA,NA,u,NA,tutorialspoint
AI,Artifical Intelligence|Skills In Demand,NA,https://whataftercollege.com/artificial-intelligence/,NA,NA,NA,NA,NA,p,NA,whataftercollege
Data Science,Data Science|Skills In Demand,NA,https://whataftercollege.com/data-science/,NA,NA,NA,NA,NA,p,NA,whataftercollege
Python,Python Programming|Skills In Demand,NA,https://whataftercollege.com/python-programming/,NA,NA,NA,NA,NA,p,NA,whataftercollege
HTML,HTML Tutorial,NA,https://www.w3schools.com/html/default.asp,NA,NA,NA,NA,NA,u,NA,w3schools
JavaScript,JavaScript Tutorial,NA,https://www.w3schools.com/js/default.asp,NA,NA,NA,NA,NA,u,NA,w3schools
SQL,SQL Tutorial,NA,https://www.w3schools.com/sql/default.asp,NA,NA,NA,NA,NA,u,NA,w3schools
Python,Python Tutorial,NA,https://www.w3schools.com/python/default.asp,NA,NA,NA,NA,NA,u,NA,w3schools
C++,C++ Tutorial,NA,https://www.w3schools.com/cpp/default.asp,NA,NA,NA,NA,NA,u,NA,w3schools
Programming,Programming Books,BOOK,https://github.com/daolf/Most-recommended-programming-books,NA,NA,NA,NA,NA,u,NA,GitHub
Programming,Programming Books,BOOK,https://github.com/EbookFoundation/free-programming-books/blob/master/free-courses-en.md,NA,NA,NA,NA,NA,u,NA,GitHub
Web Development ,Programming Books,BOOK,https://github.com/learn-anything/books,NA,NA,NA,NA,NA,u,NA,GitHub
Deep Learning,Deep Learning,SPECIALIZATION,https://www.coursera.org/specializations/deep-learning,DeepLearning.AI,4.8,Intermediate,111950,NA,p,NA,Coursera
Deep Learning,DeepLearning.AI TensorFlow Developer,PROFESSIONAL-CERTIFICATE,https://www.coursera.org/professional-certificates/tensorflow-in-practice,DeepLearning.AI,4.7,Intermediate,15949,NA,p,NA,Coursera
Deep Learning,Natural Language Processing,SPECIALIZATION,https://www.coursera.org/specializations/natural-language-processing,DeepLearning.AI,4.6,Intermediate,2019,NA,p,NA,Coursera
